Classe,Age,Cle_logbook,Freq_comm_ecrit,Lecture_comm_ecrit,Objectif_commentaire,Texte_objectif_comm_ecrit,Impact_comm_ecrit,Comp_comm_ecrit,Freq_comm_oral,Moment_comm_oral,Comp_comm_oral,Impact_comm_oral,Prof_comm_oral_prive,Gene_comm_oral,Raison_gene_comm_oral,Raison_gene_autre,Pref_ecrit_oral,Pref_ecrit_oral_texte,Pref_freq_oral,Besoin_comm_oral,Besoin_comm_oral_text,Motiv_comm,Motiv_text,Peur,Methodes_travail,Commentaire_libre,Image1,Image2,Créé à
1ère,15-16 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,Comprendre pourquoi j’ai eu cette note,Un peu,"Je demande des explications au professeur, Je demande à un camarade",Parfois,Pendant la correction collective devant toute la classe,La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Un mélange des deux,,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des encouragements pour me motiver",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je fais des fiches de révision, Je révise avec des camarades",,,,
1ère,15-16 ans,,Parfois,"Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,Savoir ce que je dois améliorer,Un peu,"Je demande des explications au professeur, Je demande à un camarade",Parfois,Pendant des travaux en groupes,La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Rarement, ça va","J'ai eu l'impression d'être jugé(e) devant les autres, Je n'ai pas compris et je n'ai pas osé demander",,Un mélange des deux,"Je préfère écrit mais j'aime bien aussi que le professeur me parle, pas forcement devant la classe.",Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",Je pourrais me corriger sur une autre évaluation mais quand je ne réussie pas cela me perturbe.,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision, Je me fais aider par une I.A.","Non, merci pour le questionnaire !",,,
Terminale,17-18 ans,,"Oui, souvent",La plupart du temps,Être encouragé(e),,Pas vraiment,Je demande des explications au professeur,Rarement,Pendant une discussion individuelle (juste avec moi),Parfois c'est un peu flou,"Oui, un peu",Cela dépend du type de commentaire,"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Je n'ai pas de préférence,,Je ne sais pas,"Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je refais des exercices, Je révise avec des camarades",,,,
1ère,15-16 ans,,Parfois,La plupart du temps,Savoir ce que j’ai bien fait,,Pas vraiment,"Je demande à un camarade, J'essaie de deviner ce que ça veut dire, ""Je laisse tomber, tant pis""",Rarement,Je ne m’en souviens pas,La plupart du temps,Pas vraiment,Cela dépend du type de commentaire,"Rarement, ça va",Je n'ai pas compris et je n'ai pas osé demander,,Je n'ai pas de préférence,,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément",,Ils n'ont pas d'effet sur ma motivation,,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision, Je ne prépare pas vraiment",,,,
1ère,15-16 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,"Oui, beaucoup","Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire, J'ai peur de poser la question","Oui, souvent","Pendant la correction collective devant toute la classe, Pendant des travaux en groupes",La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Toujours, je suis gêné","J'ai eu l'impression d'être jugé(e) devant les autres, Je n'ai pas compris et je n'ai pas osé demander",,Écrits,Parce que je suis gênée à l'oral,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision, Je révise avec des camarades",,,,
1ère,15-16 ans,,"Oui, souvent",La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Un peu,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire, J'ai peur de poser la question",Parfois,"Pendant une discussion individuelle (juste avec moi), Pendant les pauses ou récréations",Parfois c'est un peu flou,"Oui, un peu",En privé (juste moi et le professeur),"Souvent, je n'aime pas ça","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Un mélange des deux,Ça dépend de se qui est dit et de la note ,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",,Souvent,"Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",,,,
Post-BAC,Plus de 18 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,"Oui, beaucoup","Je demande des explications au professeur, Je demande à un camarade, J'essaie de deviner ce que ça veut dire",Parfois,"Pendant la correction collective devant toute la classe, Pendant une discussion individuelle (juste avec moi)",La plupart du temps,"Oui, un peu",Je n'ai pas de préférence,"Rarement, ça va","""Autre, complète ci-contre""",,Écrits,plus simple pour retravailler,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils m'encouragent souvent,Car je sais sur quoi m'ameliorer,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",,,,
1ère,15-16 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Je ne sais pas,Je demande des explications au professeur,"Oui, souvent","Pendant la correction collective devant toute la classe, Pendant des travaux en groupes",La plupart du temps,Je ne sais pas,Je n'ai pas de préférence,"Rarement, ça va",Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,,Non,"Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,Ils n'ont pas d'effet sur ma motivation,,Souvent,"Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A.",Non ,,,
Post-BAC,Plus de 18 ans,,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Pas vraiment,Je demande des explications au professeur,Rarement,Je ne m’en souviens pas,"Oui, toujours, c'est très clair","Oui, un peu",En privé (juste moi et le professeur),"Rarement, ça va",Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A., Je révise avec des camarades",,,,
1ère,17-18 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Je ne sais pas,"Je demande des explications au professeur, Je demande à un camarade, J'ai peur de poser la question",Parfois,Pendant la correction collective devant toute la classe,La plupart du temps,Je ne sais pas,En privé (juste moi et le professeur),"Souvent, je n'aime pas ça","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués, Je n'ai pas compris et je n'ai pas osé demander",,Écrits,c'est moins stressant,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver",,"Parfois ça m'encourage, parfois ça me décourage","le fait de terminer a 18hr 2,3 foi par semaines avec la fatigue je suis moins concentrer et plus decourager et stresser","Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je me fais aider par une I.A.",respecter et avoir une facon de parler aux eleves cela ne les concernent pas tous mais  une en particulier,,,
2nde PRO,15-16 ans,Ethan Germain,"Oui, souvent",La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Un peu,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire, J'ai peur de poser la question","Oui, souvent","Pendant la correction collective devant toute la classe, Pendant des travaux en groupes, Pendant une discussion individuelle (juste avec moi), Pendant les pauses ou récréations",Parfois c'est un peu flou,"Oui, un peu",Cela dépend du type de commentaire,"Rarement, ça va","Les autres élèves se sont moqués, Le commentaire était trop négatif, Je n'ai pas compris et je n'ai pas osé demander",,Écrits,Car mes camarades ne peuvent pas voir ,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,Car j'ai souvent besoin de motivation,Souvent,"Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A.",non,,,
Post-BAC,Plus de 18 ans,,"Oui, sur presque tous mes devoirs",La plupart du temps,Comprendre pourquoi j'ai eu cette note,"Toutes les autres réponses correspondent, je cherche à comprendre pourquoi j’ai eu cette note, sur quoi je dois travailler, etc…",Pas vraiment,"Je demande à un camarade, J'essaie de deviner ce que ça veut dire",Rarement,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués, Le commentaire était trop négatif",,Un mélange des deux,"On prend plus conscience du commentaire quand il est dit, à l’écrit ça nous donne juste une idée de ce que le professeur pense",Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage","Les commentaires peuvent être négatifs, malgré un travail conséquent (plus de 4H30 de travail personnel par jour en semaine). D’autres fois ils sont encourageants. ","Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",,,,
1ère,15-16 ans,,"Oui, sur presque tous mes devoirs","Parfois, ça dépend de la matière ou de la note",Comprendre pourquoi j'ai eu cette note,,Un peu,"Je demande à un camarade, J'ai peur de poser la question",Parfois,"Pendant une discussion individuelle (juste avec moi), Pendant les pauses ou récréations",La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Souvent, je n'aime pas ça","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués",,Oraux,J'ai l'impression que le/la professeur(e) met plus de coeur à m'expliquer ce qui ne va pas ou ce qui va.,Oui,"Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage","Par exemple si on me dis que ce qui va pas sans m'expliquer comment corriger, ça va me décourager. Alors que si on me dit soit ce qui va soit qu'on m'explique comment me corriger, ça va plutôt m'encourager.",Souvent,"Je relis le cours, Je refais des exercices, Je révise avec des camarades",,,,
1ère,15-16 ans,,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,"Oui, beaucoup","Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Rarement,"Pendant la correction collective devant toute la classe, Pendant des travaux en groupes",La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Rarement, ça va",Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,Je ne sais pas vraiment lequel est mieux ,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils m'encouragent toujours à mieux faire,Ils font en sorte que je m’améliore à chaque fois ,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",Non,,,
Terminale,17-18 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,"Oui, beaucoup","Je demande des explications au professeur, Je demande à un camarade",Rarement,Je ne m’en souviens pas,"Oui, toujours, c'est très clair","Oui, beaucoup, c'est plus clair qu'à l'écrit",Cela dépend du type de commentaire,"Parfois, selon ce qui est dit",Le commentaire était trop négatif,,Je n'ai pas de préférence,,Non,"Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",,,,
Post-BAC,Plus de 18 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, Je demande à un camarade",Parfois,Pendant des travaux en groupes,La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Rarement, ça va","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Écrits,Je garde la trace du conseil et je peux y revenir quand je le souhaite.,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,"Parfois ça m'encourage, parfois ça me décourage",Ca dépend de la façon dont est construite la phrase.,"Jamais, j'ose toujours demander","Je relis le cours, Je refais des exercices, Je révise avec des camarades",,,,
